VAR_NAME,1/06/2017_12:00:00 PM
144,-0.028443682
145,-0.037587873
146,-0.031876315
147,-0.031714379
148,1.966118307
149,1.965588372
150,1.928610813
151,1.962482105
152,1.955275658
153,1.964301741
154,1.928379362
155,1.924082379
156,1.953713955
157,-0.001643649
158,2.634222813
159,0.464558695
160,1.411726712
161,0.4514899
162,0.718006144
163,0.452513875
164,0.510142614
165,1.401716499
166,0.531567914
167,0.452611164
168,-0.181017844
169,1.450167502
170,2.436018621
171,2.436054232
172,1.491463817
173,1.560436115
174,1.509559326
175,1.509979866
176,0.631977112
177,1.425103285
178,2.607399495
179,0.500468154
180,0.542603137
181,0.503368555
182,0.510711824
183,0.503214165
184,0.500367259
185,0.498389698
186,0.500047981
187,0.491137987
188,0.515186502
189,0.502348058
190,-0.016509376
191,0.042724678
192,-0.001933968
193,-0.004330738
194,0
195,0.022023896
196,0.041909507
197,0.015648414
198,0.059095786
199,0.059082941
200,0.025880153
201,0.212873051
202,0.210560017
203,0.324923526
204,0.301121945
205,0.312359232
206,0.325308237
207,0.319727054
208,0.325250707
209,0.30275127
210,0.301114893
211,0.320583758
212,0.312357937
213,0.018235858
214,0.574780028
215,0.634450131
216,0.635820112
217,0.507979328
218,0.505071319
219,0.516140852
220,2.718661326
221,2.72191424
222,2.763011133
223,2.721344071
224,2.76440125
225,2.672623594
226,2.76264719
227,2.717263087
228,2.701751707
229,1.441378566
230,1.446208321
231,1.450353798
232,1.486371095
233,1.569538432
234,-0.248016259
235,-0.230467422
236,-0.200871046
237,-0.201517378
238,-0.171346737
239,-0.169920673
240,0.920515749
241,0.927517035
242,0.9304238
243,0.929536373
244,0.925170015
245,0.930429051
246,0.924501783
247,0.481357262
248,0.484731705
249,0.45276441
250,0.482858924
251,0.444634868
252,0.438225204
253,0.451424655
254,0.510975091
255,0.792986382
256,0.456026955
257,0.836662239
258,0.850242602
259,2.589191866
260,2.616843677
261,2.586991517
262,2.616639402
264,0.38821596
265,0.469163248
266,0.458537308
267,0.574398854
268,0.066330413
269,0.042616094
270,-0.000531164
271,0.257509567
272,0.257695083
273,0.286515506
274,0.257569845
275,0.28875292
276,0.289767174
277,0.25739522
278,0.257387761
279,0.257509294
280,0.257509999
281,0.494109616
282,0.010249028
283,1.441142693
284,0.500377819
286,0.480388239
287,0.457598593
288,0.453079155
289,0.592074168
290,0.449635626
291,-0.168243995
292,0.747616895
293,-0.184770549
294,-0.185048289
295,-0.281746507
296,-0.278428089
297,-0.279460269
298,1.383410235
299,1.422177723
300,0.155925883
301,0.292701429
302,-0.085187167
303,-0.104084792
304,-0.075413599
305,1.58107726
306,-0.173914454
307,-0.173914494
308,1.434142666
309,1.015326586
310,0.999469626
311,-0.006149732
312,1.421309657
313,1.403147918
314,1.431661114
315,1.550494566
316,1.442111119
317,1.546622702
318,1.451455572
319,1.554806084
320,1.547722483
321,1.550457272
322,0.772870722
323,0.041841541
324,2.634211365
325,2.293396456
326,2.293401176
327,2.325575722
328,2.328109573
329,2.360044603
331,2.29248142
334,0.624302795
335,0.558051341
336,0.507031819
337,0.506917482
338,2.493290994
339,0.755748717
340,1.452636615
341,1.556856318
342,1.473013347
343,1.487572349
344,0.07260733
345,1.621736583
346,-0.180339553
348,-0.180178489
351,-0.215559919
352,-0.250650541
